0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
PROBABILITY,EXP,JOINT_HISTORY,TIE,YEAR,ROUNDS,STAGE,NO_SYN,L_HISTORY_INV_NO,L_VC_TYPE,L_CAPITAL,L_VC_AGE,L_AVG_INVEST,L_EXIT_NO,CLUSTER,LOC,F_HISINV_NO,F_VC_TYPE,F_CAPITAL,F_VC_AGE,F_AVG_INVEST
1,0,1,0,2008,1,1,3,10,1,2.021690607,2.484906673,0.889002025,3,1,1,83,1,0,0.693147182,1.071032763
1,0,1,1,2008,1,1,3,10,1,2.021690607,2.484906673,0.889002025,3,1,1,172,1,7.003973961,0.693147182,1.071032763
0,0,0,0,2008,1,1,3,10,1,2.021690607,2.484906673,0.889002025,3,1,0,22,0,0,0,1.289554715
0,0,0,0,2008,1,1,3,10,1,2.021690607,2.484906673,0.889002025,3,1,0,50,1,6.908754826,1.945910096,1.092721581
0,0,0,0,2008,1,1,3,10,1,2.021690607,2.484906673,0.889002025,3,1,1,51,1,5.071918488,0,0
0,0,0,0,2008,1,1,3,10,1,2.021690607,2.484906673,0.889002025,3,0,1,15,0,3.06898284,2.397895336,0.831805527
0,0,0,0,2008,1,1,3,10,1,2.021690607,2.484906673,0.889002025,3,1,0,11,0,6.096117496,0.693147182,-0.619962633
0,0,0,0,2008,1,1,3,10,1,2.021690607,2.484906673,0.889002025,3,1,0,14,0,5.33281517,2.77258873,0.774442017
0,0,0,0,2008,1,1,3,10,1,2.021690607,2.484906673,0.889002025,3,1,1,42,0,4.59228754,1.386294365,0.869741678
0,0,0,0,2008,1,1,3,10,1,2.021690607,2.484906673,0.889002025,3,1,1,15,0,7.43230629,0,0.728313327
0,0,0,0,2008,1,1,3,10,1,2.021690607,2.484906673,0.889002025,3,1,1,132,0,9.18737793,2.484906673,0.668679178
0,0,0,0,2008,1,1,3,10,1,2.021690607,2.484906673,0.889002025,3,1,0,29,1,8.476579666,2.564949274,0.91163975
0,0,0,0,2008,1,1,3,10,1,2.021690607,2.484906673,0.889002025,3,1,0,14,0,4.307302952,1.791759491,0.785691023
0,0,0,0,2008,1,1,3,10,1,2.021690607,2.484906673,0.889002025,3,1,0,21,1,5.170484066,1.945910096,0.981925607
0,0,0,0,2008,1,1,3,10,1,2.021690607,2.484906673,0.889002025,3,1,1,12,1,0,2.995732307,1.008767486
0,0,0,0,2008,1,1,3,10,1,2.021690607,2.484906673,0.889002025,3,1,1,18,0,3.909219027,1.945910096,-0.35825491
0,0,0,0,2008,1,1,3,10,1,2.021690607,2.484906673,0.889002025,3,1,0,45,1,7.650168896,2.890371799,0.964448631
0,0,0,0,2008,1,1,3,10,1,2.021690607,2.484906673,0.889002025,3,1,0,16,1,4.615120411,1.609437943,0.714812815
0,0,0,0,2008,1,1,3,10,1,2.021690607,2.484906673,0.889002025,3,1,1,34,1,5.789134026,1.945910096,1.092721581
0,0,0,0,2008,1,1,3,10,1,2.021690607,2.484906673,0.889002025,3,1,0,28,1,7.378383636,0,0
0,0,0,0,2008,1,1,3,10,1,2.021690607,2.484906673,0.889002025,3,1,0,32,0,5.566778183,2.397895336,0.514585257
0,0,0,0,2008,1,1,3,10,1,2.021690607,2.484906673,0.889002025,3,1,1,18,0,5.001997948,2.079441547,0.963695765
